Date,Open,High,Low,Close,Adj Close,Volume
2017-08-01,5.018750,5.070000,4.960500,5.068750,5.068750,10033466
2017-09-01,5.106250,5.170000,5.091250,5.091250,5.091250,148872
2017-10-01,5.028750,5.210000,5.028750,5.182500,5.182500,57054
2017-11-01,5.190000,5.300000,5.180000,5.195000,5.195000,24276214
2017-12-01,5.200000,5.290000,5.040000,5.290000,5.290000,15491499
2018-01-01,5.290000,5.500000,5.290000,5.420000,5.420000,2016277
2018-02-01,5.410000,5.440000,5.190000,5.340000,5.340000,1245356
2018-03-01,5.340000,5.390000,5.240000,5.261250,5.261250,3312838
2018-04-01,5.261250,5.480000,5.190000,5.410000,5.410000,3056653
2018-05-01,5.400000,5.570000,5.400000,5.510000,5.510000,2020593
2018-06-01,5.520000,5.520000,5.240000,5.310000,5.310000,459744
2018-07-01,5.290000,5.290000,5.020000,5.200000,5.200000,2263840
2018-08-01,5.160000,5.200000,5.000000,5.100000,5.100000,340723
2018-09-01,5.100000,5.210000,5.010000,5.210000,5.210000,3003753
2018-10-01,5.190000,5.360000,5.090000,5.090000,5.090000,14836351
2018-11-01,5.120000,5.170000,4.950000,5.020000,5.020000,2653376
2018-12-01,5.090000,5.130000,4.750000,4.750000,4.750000,1798323
2019-01-01,4.750000,5.270000,4.680000,4.997000,4.997000,16534842
2019-02-01,4.921000,5.050000,4.889000,5.005000,5.005000,9859344
2019-03-01,5.012500,5.095000,4.932000,5.012500,5.012500,3156412
2019-04-01,5.020000,5.140000,4.967000,4.973000,4.973000,2001656
2019-05-01,4.930000,4.964000,4.823000,4.849500,4.849500,16222426
2019-06-01,4.770000,4.978000,4.740000,4.976000,4.976000,16695449
2019-07-01,4.959000,5.035000,4.851000,4.911500,4.911500,3902354
2019-08-01,4.871000,4.871000,4.707000,4.793000,4.793000,1941389
2019-09-01,4.803000,5.040000,4.748000,4.849500,4.849500,1300520
2019-10-01,4.844000,4.980000,4.810000,4.931500,4.931500,970214
2019-11-01,4.953000,5.050000,4.495000,4.831000,4.831000,5214309
2019-12-01,4.837000,5.107500,4.820000,5.073750,5.073750,919917
2020-01-01,5.073750,5.130000,4.688000,4.707000,4.707000,16089871
2020-02-01,4.674000,4.804000,4.431000,4.446000,4.446000,3880228
2020-03-01,4.528000,4.615000,3.766000,3.903000,3.903000,5963195
2020-04-01,3.865000,4.163000,3.713620,3.821500,3.821500,13839713
2020-05-01,3.785000,4.005000,3.785000,3.943500,3.943500,466079
2020-06-01,4.000000,4.087000,3.941000,4.066500,4.066500,5467752
2020-07-01,4.086000,4.334000,4.080000,4.319000,4.319000,1514746
2020-08-01,4.398000,4.607000,4.323000,4.592500,4.592500,2377852
2020-09-01,4.641000,4.648000,4.377190,4.429500,4.429500,4399714
2020-10-01,4.461000,4.678000,4.351000,4.491000,4.491000,1473597
2020-11-01,4.473000,4.726000,4.473000,4.683000,4.683000,3337991
2020-12-01,4.715000,4.891000,4.598000,4.884000,4.884000,2932683
2021-01-01,4.884000,5.100000,4.884000,5.042500,5.042500,8674438
2021-02-01,5.107500,5.542500,5.080000,5.361250,5.361250,7522168
2021-03-01,5.410000,5.422500,5.182500,5.205000,5.205000,12119233
2021-04-01,5.255000,5.735000,5.230000,5.640000,5.640000,5641713
2021-05-01,5.640000,5.932500,4.687000,5.840000,5.840000,11523288
2021-06-01,5.897500,5.997500,5.640000,5.815000,5.815000,11933945
2021-07-01,5.942500,6.107500,5.752500,6.040000,6.040000,5929942
2021-08-01,6.035000,6.055000,5.740000,6.012500,6.012500,13543605
2021-09-01,6.030000,6.407500,5.967500,6.302500,6.302500,8458959
2021-10-01,6.307500,6.680000,6.292500,6.480000,6.480000,13436158
2021-11-01,6.457500,6.560000,6.007500,6.007500,6.007500,13691242
2021-12-01,6.050000,6.490000,5.900000,6.205000,6.205000,8546089
2022-01-01,6.205000,6.800000,6.205000,6.720000,6.720000,15751995
2022-02-01,6.775000,7.660000,6.740000,7.167500,7.167500,17427233
2022-03-01,7.257500,8.585000,7.100000,7.870000,7.870000,27962072
2022-04-01,7.735000,8.477500,7.712500,8.125000,8.125000,12625569
2022-05-01,8.125000,8.490000,7.735000,8.342500,8.342500,14115622
2022-06-01,8.277500,8.647500,7.430000,7.447500,7.447500,16863012
2022-07-01,7.302500,7.730000,6.880000,7.665000,7.665000,16214200
2022-08-01,7.537500,7.905000,7.300000,7.640000,7.640000,7957212
2022-09-01,7.575000,7.660000,6.877500,7.090000,7.090000,15164542
2022-10-01,7.042500,7.422500,6.880000,7.085000,7.085000,13245604
2022-11-01,7.182500,7.510000,7.100000,7.320000,7.320000,6472654
2022-12-01,7.350000,7.445000,6.935000,7.125000,7.125000,6444225
2023-01-01,7.125000,7.190000,6.787500,7.090000,7.090000,7235067
2023-02-01,7.110000,7.122500,6.680000,6.757500,6.757500,5220061
2023-03-01,6.812500,7.076400,6.500000,6.735000,6.735000,7597471
2023-04-01,6.787500,6.972500,6.597500,6.670000,6.670000,8937414
2023-05-01,6.670000,6.677500,6.250000,6.335000,6.335000,4958703
2023-06-01,6.352500,6.797500,6.332500,6.560000,6.560000,6527843
2023-07-01,6.570000,7.025000,6.527500,6.965000,6.965000,4254124
2023-08-01,6.965000,6.982500,6.745000,6.930000,6.930000,8598241
2023-09-01,6.947500,7.080000,6.850000,6.912500,6.912500,6894082
2023-10-01,6.890000,7.012500,6.617500,6.920000,6.920000,6562533
2023-11-01,6.877500,6.982500,6.660000,6.725000,6.725000,8249763
2023-12-01,6.715000,6.752500,6.357500,6.587500,6.587500,11043615
2024-01-01,6.587500,6.625000,6.400000,6.577500,6.577500,5669404
2024-02-01,6.560000,6.660000,6.300000,6.482500,6.482500,5883166
2024-03-01,6.470000,6.732500,6.457500,6.672500,6.672500,4669402
2024-04-01,6.672500,7.020000,6.672500,6.885000,6.885000,9709236
2024-05-01,6.822500,7.270000,6.700000,7.112500,7.112500,2563988
2024-05-24,7.122500,7.127500,7.092500,7.112500,7.112500,73163
