Date,Open,High,Low,Close,Adj Close,Volume
2008-11-01,110.599998,0.000000,0.000000,107.199997,107.199997,0
2008-12-01,107.199997,0.000000,0.000000,104.199997,104.199997,0
2009-01-01,103.500000,111.690002,103.839996,110.709999,110.709999,32002
2009-02-01,114.769997,116.099998,112.669998,113.980003,113.980003,6448
2009-03-01,113.980003,113.599998,109.529999,111.080002,111.080002,25154
2009-04-01,111.080002,115.680000,113.160004,113.160004,113.160004,1167
2009-05-01,110.510002,111.800003,106.180000,106.180000,106.180000,15274
2009-06-01,106.180000,107.500000,106.349998,107.199997,107.199997,3893
2009-07-01,107.199997,108.790001,105.199997,107.099998,107.099998,5494
2009-08-01,105.970001,108.599998,104.470001,106.870003,106.870003,1129
2009-09-01,106.870003,108.059998,104.900002,106.639999,106.639999,5622
2009-10-01,106.230003,106.870003,104.139999,105.830002,105.830002,1275
2009-11-01,106.800003,108.500000,105.940002,108.144997,108.144997,22427
2009-12-01,107.474998,112.510002,107.000000,110.849998,110.849998,6523
2010-01-01,110.849998,116.080002,110.129997,116.080002,116.080002,11217
2010-02-01,116.199997,118.459999,115.809998,118.089996,118.089996,1747
2010-03-01,118.089996,119.529999,116.220001,117.500000,117.500000,1375
2010-04-01,117.629997,123.339996,117.480003,122.900002,122.900002,21566
2010-05-01,123.690002,135.970001,123.379997,133.089996,133.089996,79503
2010-06-01,134.580002,138.250000,131.839996,135.029999,135.029999,36134
2010-07-01,135.059998,135.059998,125.760002,126.919998,126.919998,20885
2010-08-01,126.769997,133.029999,125.330002,132.759995,132.759995,33592
2010-09-01,131.589996,132.490005,125.120003,125.610001,125.610001,21652
2010-10-01,124.730003,126.980003,123.949997,125.610001,125.610001,54416
2010-11-01,125.529999,132.360001,123.550003,132.360001,132.360001,8778
2010-12-01,132.360001,132.360001,124.449997,126.349998,126.349998,7789
2011-01-01,126.269997,131.270004,122.540001,123.559998,123.559998,8991
2011-02-01,122.360001,124.629997,121.190002,123.519997,123.519997,11498
2011-03-01,122.879997,125.559998,121.190002,121.550003,121.550003,44805
2011-04-01,121.610001,123.330002,118.180000,119.040001,119.040001,19719
2011-05-01,118.800003,125.900002,118.800003,123.260002,123.260002,14108
2011-06-01,122.650002,126.669998,121.059998,122.669998,122.669998,7463
2011-07-01,122.650002,130.320007,122.650002,128.009995,128.009995,7236
2011-08-01,128.699997,135.919998,128.699997,130.029999,130.029999,20737
2011-09-01,131.259995,141.600006,131.259995,139.500000,139.500000,16954
2011-10-01,140.820007,143.679993,132.500000,132.960007,132.960007,23534
2011-11-01,139.679993,145.240005,138.440002,143.110001,143.110001,58634
2011-12-01,143.470001,149.190002,141.559998,148.559998,148.559998,14771
2012-01-01,149.050003,152.710007,146.470001,150.190002,150.190002,4991
2012-02-01,148.559998,151.149994,145.449997,146.619995,146.619995,8382
2012-03-01,146.449997,149.309998,145.199997,145.990005,145.990005,12780
2012-04-01,146.259995,151.429993,146.199997,149.500000,149.500000,11579
2012-05-01,149.500000,163.410004,149.289993,163.009995,163.009995,12750
2012-06-01,164.110001,164.110001,157.779999,157.929993,157.929993,27635
2012-07-01,159.940002,169.039993,159.110001,165.550003,165.550003,21003
2012-08-01,165.600006,168.270004,159.309998,161.089996,161.089996,16799
2012-09-01,161.119995,162.630005,154.410004,159.330002,159.330002,16072
2012-10-01,159.029999,160.100006,155.190002,158.789993,158.789993,14454
2012-11-01,158.580002,163.350006,158.279999,158.979996,158.979996,10171
2012-12-01,159.119995,161.970001,154.300003,156.600006,156.600006,7027
2013-01-01,156.600006,164.550003,149.479996,149.960007,149.960007,4516
2013-02-01,148.759995,156.250000,148.759995,155.929993,155.929993,6505
2013-03-01,156.199997,160.259995,154.839996,159.440002,159.440002,14871
2013-04-01,159.440002,160.110001,156.399994,156.639999,156.639999,4746
2013-05-01,156.639999,157.979996,151.429993,151.800003,151.800003,6693
2013-06-01,151.630005,151.630005,140.500000,144.919998,144.919998,14272
2013-07-01,145.210007,147.539993,142.220001,142.220001,142.220001,13779
2013-08-01,143.479996,144.320007,138.440002,142.440002,142.440002,5124
2013-09-01,141.740005,141.740005,139.080002,140.460007,140.460007,7274
2013-10-01,139.919998,140.789993,138.639999,140.619995,140.619995,12846
2013-11-01,140.940002,142.410004,138.850006,138.850006,138.850006,5366
2013-12-01,139.240005,139.240005,134.199997,135.050003,135.050003,8373
2014-01-01,135.050003,141.050003,135.050003,141.050003,141.050003,21338
2014-02-01,140.899994,141.570007,137.669998,138.080002,138.080002,5553
2014-03-01,139.080002,139.360001,136.860001,137.910004,137.910004,1288
2014-04-01,137.630005,139.649994,137.380005,138.919998,138.919998,4414
2014-05-01,138.919998,145.600006,138.759995,144.570007,144.570007,9667
2014-06-01,144.850006,145.479996,142.539993,144.500000,144.500000,4895
2014-07-01,144.000000,148.429993,143.149994,147.949997,147.949997,22706
2014-08-01,147.949997,151.600006,147.710007,151.600006,151.600006,14552
2014-09-01,150.910004,153.740005,149.210007,153.740005,153.740005,5707
2014-10-01,154.789993,156.729996,153.600006,154.860001,154.860001,33131
2014-11-01,156.500000,157.770004,155.039993,156.619995,156.619995,11302
2014-12-01,157.460007,159.619995,156.059998,159.470001,159.470001,3592
2015-01-01,159.470001,177.820007,159.470001,177.820007,177.820007,43436
2015-02-01,177.440002,177.440002,170.619995,176.139999,176.139999,37302
2015-03-01,176.330002,184.539993,175.630005,183.190002,183.190002,24873
2015-04-01,184.320007,187.500000,176.369995,176.369995,176.369995,20196
2015-05-01,176.369995,179.720001,170.710007,178.550003,178.550003,4088
2015-06-01,178.940002,178.940002,169.470001,174.460007,174.460007,6654
2015-07-01,174.309998,179.190002,173.779999,176.490005,176.490005,19789
2015-08-01,177.460007,178.490005,166.929993,172.139999,172.139999,2922
2015-09-01,171.210007,173.309998,168.190002,171.669998,171.669998,13750
2015-10-01,172.139999,175.229996,169.070007,174.389999,174.389999,61963
2015-11-01,174.130005,182.259995,173.649994,182.259995,182.259995,20106
2015-12-01,181.110001,182.089996,172.389999,173.490005,173.490005,20406
2016-01-01,173.490005,178.929993,173.490005,178.929993,178.929993,7104
2016-02-01,178.460007,179.759995,170.479996,179.759995,179.759995,35341
2016-03-01,179.630005,179.979996,173.509995,174.940002,174.940002,47887
2016-04-01,175.020004,176.520004,174.160004,174.160004,174.160004,13608
2016-05-01,174.429993,178.619995,172.500000,178.139999,178.139999,7478
2016-06-01,177.699997,183.500000,175.770004,182.750000,182.750000,15391
2016-07-01,184.100006,186.460007,182.809998,183.110001,183.110001,10841
2016-08-01,183.050003,184.130005,179.509995,182.750000,182.750000,59539
2016-09-01,182.809998,184.029999,179.460007,182.419998,182.419998,31502
2016-10-01,182.419998,188.490005,181.380005,185.880005,185.880005,41115
2016-11-01,185.339996,189.500000,182.500000,188.389999,188.389999,101070
2016-12-01,187.649994,190.820007,183.800003,188.520004,188.520004,39151
2017-01-01,189.940002,192.380005,186.250000,186.250000,186.250000,75948
2017-02-01,186.080002,191.869995,185.860001,190.410004,190.410004,58698
2017-03-01,191.139999,191.289993,185.509995,188.460007,188.460007,35788
