Date,Open,High,Low,Close,Adj Close,Volume
2004-02-01,49.150002,50.400002,47.320000,49.299999,43.147877,39800
2004-03-01,49.630001,50.799999,46.310001,49.470001,43.296680,40100
2004-04-01,49.790001,51.400002,47.360001,47.360001,41.449966,1301200
2004-05-01,48.250000,48.709999,45.160000,48.500000,42.447708,85600
2004-06-01,48.490002,49.900002,47.349998,49.900002,43.673004,953500
2004-07-01,50.040001,50.040001,44.060001,45.750000,40.040890,90100
2004-08-01,45.200001,45.709999,42.000000,44.320000,38.789322,370800
2004-09-01,44.990002,47.220001,44.990002,47.000000,41.134914,47200
2004-10-01,47.750000,48.740002,46.549999,48.450001,42.403965,353500
2004-11-01,48.459999,52.200001,48.360001,51.990002,45.502193,220800
2004-12-01,52.060001,54.320000,51.299999,53.939999,47.208862,650800
2005-01-01,54.250000,54.279999,50.169998,52.090000,45.665409,355600
2005-02-01,52.020000,53.639999,51.820000,53.000000,46.463169,334600
2005-03-01,53.330002,54.160000,50.869999,51.549999,45.192013,97500
2005-04-01,51.380001,52.230000,48.230000,48.840000,42.816261,103500
2005-05-01,49.189999,52.529999,48.939999,52.430000,45.963490,214000
2005-06-01,52.439999,54.730000,52.439999,54.000000,47.339848,154400
2005-07-01,54.130001,58.029999,53.950001,57.650002,50.539658,220300
2005-08-01,58.049999,58.369999,55.220001,56.990002,49.961067,367500
2005-09-01,57.200001,58.200001,55.320000,57.459999,50.373100,353100
2005-10-01,57.930000,58.130001,52.900002,55.270000,48.453201,328600
2005-11-01,55.320000,59.490002,55.160000,58.560001,51.337437,820400
2005-12-01,58.919998,60.040001,58.049999,58.400002,51.197147,356600
2006-01-01,58.799999,63.599998,57.889999,63.230000,55.630718,700100
2006-02-01,63.380001,64.260002,61.340000,63.130001,55.542747,558200
2006-03-01,63.650002,66.500000,61.900002,66.279999,58.314171,836600
2006-04-01,66.279999,68.440002,64.379997,66.250000,58.296803,539400
2006-05-01,66.639999,67.830002,59.810001,62.290001,54.812187,1001600
2006-06-01,62.360001,63.970001,56.820000,61.509998,54.125820,1698600
2006-07-01,61.560001,62.160000,55.889999,58.570000,51.538765,1199600
2006-08-01,57.959999,60.080002,56.330002,59.799999,52.621101,971000
2006-09-01,60.200001,61.169998,58.060001,60.320000,53.078690,428500
2006-10-01,60.299999,64.949997,59.110001,63.700001,56.052917,513900
2006-11-01,64.050003,66.230003,62.259998,65.629997,57.751240,682200
2006-12-01,65.599998,67.050003,64.760002,65.250000,57.416847,893600
2007-01-01,65.800003,67.309998,64.169998,66.980003,59.169983,763900
2007-02-01,67.370003,70.300003,66.389999,67.209999,59.373177,858100
2007-03-01,66.000000,69.260002,64.680000,68.470001,60.486271,719700
2007-04-01,68.699997,72.330002,68.419998,70.889999,62.633198,667300
2007-05-01,70.980003,74.660004,70.320000,74.540001,65.858040,727000
2007-06-01,74.919998,75.330002,72.360001,74.190002,65.548820,1365100
2007-07-01,74.559998,76.599998,70.389999,70.580002,62.359276,1271200
2007-08-01,70.699997,73.150002,65.830002,71.629997,63.286976,2659500
2007-09-01,71.599998,74.800003,69.470001,74.120003,65.486992,1209000
2007-10-01,74.250000,78.500000,73.190002,76.739998,67.801811,2511700
2007-11-01,75.559998,75.730003,68.040001,71.580002,63.242817,1862200
2007-12-01,72.000000,74.190002,68.680000,71.290001,62.986599,2563700
2008-01-01,70.820000,71.410004,59.000000,64.830002,57.610966,5305200
2008-02-01,65.430000,66.889999,62.389999,63.700001,56.606785,2819500
2008-03-01,63.689999,64.750000,58.709999,62.830002,55.833664,6618100
2008-04-01,64.110001,67.919998,62.990002,66.949997,59.505566,2781400
2008-05-01,67.059998,71.220001,66.730003,70.949997,63.060825,2810200
2008-06-01,71.010002,72.320000,66.459999,66.739998,59.318954,2522800
2008-07-01,66.010002,67.169998,62.000000,66.220001,58.856770,3649100
2008-08-01,66.459999,69.559998,64.919998,67.980003,60.421070,5030900
