Date,Open,High,Low,Close,Adj Close,Volume
2004-02-01,49.700001,50.869999,49.330002,50.040001,40.095482,64100
2004-03-01,50.400002,50.520000,47.470001,49.169998,39.398376,96900
2004-04-01,49.090000,50.349998,48.520000,48.720001,39.110546,295500
2004-05-01,48.770000,49.369999,47.189999,49.369999,39.632359,1707200
2004-06-01,49.049999,50.259998,48.910000,49.840000,40.009655,594200
2004-07-01,49.090000,49.240002,46.060001,46.990002,37.774971,113600
2004-08-01,46.889999,47.139999,44.919998,46.549999,37.421257,748800
2004-09-01,46.720001,48.020000,46.660000,47.330002,38.048283,1134200
2004-10-01,47.610001,48.520000,46.240002,48.000000,38.659931,854000
2004-11-01,48.049999,50.650002,47.910000,50.009998,40.278816,607100
2004-12-01,50.160000,52.150002,50.160000,51.400002,41.398346,460800
2005-01-01,51.650002,51.650002,48.959999,49.790001,40.387093,626400
2005-02-01,49.950001,50.990002,49.750000,50.490002,40.954868,177100
2005-03-01,50.630001,51.549999,48.889999,49.419998,40.086956,462400
2005-04-01,49.660000,50.000000,47.500000,48.209999,39.193089,272300
2005-05-01,48.400002,50.900002,48.380001,50.810001,41.306793,737600
2005-06-01,50.669998,51.639999,50.160000,50.570000,41.111694,877300
2005-07-01,50.619999,53.139999,50.160000,52.779999,42.985901,386500
2005-08-01,52.970001,53.240002,51.310001,52.040001,42.383213,727100
2005-09-01,52.000000,52.980000,51.020000,52.189999,42.505363,837800
2005-10-01,52.270000,52.270000,49.830002,51.750000,42.238918,901600
2005-11-01,51.750000,54.750000,51.369999,53.900002,43.993771,839600
2005-12-01,54.349998,55.080002,53.500000,53.500000,43.667278,1241700
2006-01-01,53.840000,55.849998,53.279999,54.669998,44.742573,1687100
2006-02-01,54.910000,55.290001,53.540001,54.520000,44.619781,1011000
2006-03-01,54.820000,55.700001,54.000000,55.169998,45.151768,1672600
2006-04-01,55.689999,56.070000,54.410000,55.169998,45.273384,947800
2006-05-01,55.400002,55.849998,52.169998,53.290001,43.730614,1745500
2006-06-01,53.279999,54.400002,50.750000,52.970001,43.468021,2058300
2006-07-01,53.169998,53.270000,50.000000,51.790001,42.592751,1411100
2006-08-01,51.650002,53.480000,51.150002,53.380001,43.900383,1461600
2006-09-01,52.650002,55.060001,52.650002,54.830002,45.092869,1911200
2006-10-01,54.950001,57.130001,54.220001,56.650002,46.686718,2147300
2006-11-01,56.880001,58.419998,55.860001,58.000000,47.799274,6064700
2006-12-01,58.090000,58.950001,57.290001,57.860001,47.683891,2645500
2007-01-01,58.279999,60.360001,57.450001,59.349998,49.040928,4597600
2007-02-01,59.660000,61.000000,57.000000,58.250000,48.131985,3080100
2007-03-01,57.310001,59.500000,56.500000,58.430000,48.280731,6578500
2007-04-01,58.590000,61.759998,58.259998,61.000000,50.518497,2965000
2007-05-01,61.000000,63.240002,60.669998,63.139999,52.290806,2747000
2007-06-01,63.279999,63.580002,61.410000,62.349998,51.636532,2574200
2007-07-01,62.540001,64.930000,61.009998,61.009998,50.650555,4505700
2007-08-01,61.500000,63.090000,57.509998,62.189999,51.630192,5895300
2007-09-01,62.230000,65.019997,61.029999,64.830002,53.821941,6372600
2007-10-01,64.910004,67.389999,63.750000,66.750000,55.548996,5463000
2007-11-01,66.480003,66.480003,61.779999,64.599998,53.759789,6943300
2007-12-01,63.959999,66.639999,62.880001,64.480003,53.659912,5470800
2008-01-01,64.900002,64.900002,50.610001,59.310001,49.480885,14579000
2008-02-01,59.549999,60.810001,56.849998,58.630001,48.913567,8870600
2008-03-01,58.580002,59.369999,55.410000,57.939999,48.337925,9948500
2008-04-01,58.349998,62.299999,58.349998,61.439999,51.372021,7086500
2008-05-01,61.430000,64.699997,61.290001,63.590000,53.169716,6315000
2008-06-01,63.540001,64.330002,58.919998,59.189999,49.490726,6455800
2008-07-01,58.590000,59.790001,55.930000,58.220001,48.790997,11966400
2008-08-01,58.340000,60.130001,56.939999,58.919998,49.377632,7935400
2008-09-01,59.459999,61.500000,49.570000,52.209999,43.754349,15254100
2008-10-01,51.520000,51.759998,36.500000,42.910000,36.053619,27700000
2008-11-01,42.900002,44.290001,32.900002,39.189999,32.928024,20874200
2008-12-01,38.090000,40.020000,35.650002,39.509998,33.196873,25282300
2009-01-01,39.490002,41.560001,36.540001,37.580002,31.711430,20501600
2009-02-01,37.160000,40.189999,34.630001,34.770000,29.340256,18107600
2009-03-01,34.110001,39.029999,32.209999,37.360001,31.525776,24930700
2009-04-01,37.169998,41.889999,36.959999,41.080002,34.800480,16368200
2009-05-01,41.180000,42.990002,40.689999,42.980000,36.410030,14288700
2009-06-01,43.490002,44.799999,41.970001,43.360001,36.731960,14744200
2009-07-01,43.599998,47.020000,41.250000,46.450001,39.485283,12239300
2009-08-01,46.919998,48.270000,45.639999,47.369999,40.267338,10157100
2009-09-01,47.189999,50.310001,46.340000,49.279999,41.890953,6356100
2009-10-01,49.169998,51.540001,47.720001,48.630001,41.457306,14503000
2009-11-01,48.770000,52.439999,48.439999,51.529999,43.929577,7866300
2009-12-01,51.840000,53.880001,51.080002,53.060001,45.233898,8316700
2010-01-01,53.520000,54.770000,50.490002,50.619999,43.300282,9887200
2010-02-01,50.880001,53.000000,49.450001,52.580002,44.976864,8282800
2010-03-01,52.770000,56.060001,52.750000,55.549999,47.517395,8232000
2010-04-01,55.919998,58.160000,55.500000,56.389999,48.361961,8764700
2010-05-01,56.639999,57.200001,23.290001,51.730000,44.365383,17474000
2010-06-01,51.320000,53.860001,48.549999,48.639999,41.715309,11235100
2010-07-01,48.630001,53.360001,47.759998,52.279999,44.965988,5816600
2010-08-01,53.099998,53.720001,49.349998,49.810001,42.841545,8244300
2010-09-01,50.509998,55.740002,50.450001,54.970001,47.279663,7417600
2010-10-01,55.320000,58.119999,54.349998,57.820000,49.917797,7301100
2010-11-01,58.110001,60.139999,57.310001,58.389999,50.409897,7421000
2010-12-01,59.270000,61.779999,59.240002,61.419998,53.025787,7741200
2011-01-01,61.919998,63.470001,61.389999,62.570000,54.197235,8311500
2011-02-01,62.980000,65.419998,62.599998,64.300003,55.695740,8034600
2011-03-01,64.519997,64.629997,60.459999,64.300003,55.695740,10892800
2011-04-01,64.750000,66.389999,62.750000,66.290001,57.573418,7488500
2011-05-01,66.620003,66.650002,63.959999,65.809998,57.156544,7304100
2011-06-01,65.580002,65.790001,61.119999,64.690002,56.183819,8533600
2011-07-01,64.739998,66.919998,63.630001,64.220001,55.949196,8245200
2011-08-01,65.010002,65.099998,54.709999,60.580002,52.777996,16904000
2011-09-01,60.689999,61.549999,55.869999,55.939999,48.735584,10618100
2011-10-01,55.630001,64.150002,53.090000,62.430000,54.556816,12366700
2011-11-01,60.820000,63.820000,58.080002,62.299999,54.443195,9229400
2011-12-01,62.180000,63.400002,59.660000,61.759998,53.971294,9170800
2012-01-01,62.930000,66.370003,62.240002,65.639999,57.573647,9731000
2012-02-01,66.139999,69.440002,65.949997,68.779999,60.327778,9686700
2012-03-01,69.110001,71.519997,67.459999,70.970001,62.248676,10644400
2012-04-01,71.019997,71.830002,68.580002,70.760002,62.235600,11550200
2012-05-01,70.760002,71.599998,65.000000,66.309998,58.321697,11973400
2012-06-01,65.080002,68.580002,63.849998,68.010002,59.816910,14818600
2012-07-01,68.089996,69.680000,66.000000,68.839996,60.736305,10584500
2012-08-01,69.230003,72.019997,67.730003,71.180000,62.800869,12783600
2012-09-01,71.180000,74.489998,70.589996,72.400002,63.877262,8850300
2012-10-01,72.750000,73.800003,69.650002,70.129997,62.083065,9367500
2012-11-01,70.330002,71.730003,67.370003,71.550003,63.340134,16614400
2012-12-01,71.879997,72.629997,69.709999,71.180000,63.012589,15291100
2013-01-01,72.690002,74.900002,72.379997,74.309998,66.172722,16043100
2013-02-01,74.790001,75.760002,73.540001,74.930000,66.724869,15065400
2013-03-01,74.820000,77.610001,74.419998,77.510002,69.022316,12230700
