Date,Open,High,Low,Close,Adj Close,Volume
2008-02-01,153.860001,0.000000,0.000000,152.723007,124.399864,0
2008-03-01,153.063995,0.000000,0.000000,151.677994,123.548698,0
2008-04-01,151.459000,0.000000,0.000000,148.123993,120.653824,0
2008-05-01,147.229004,0.000000,0.000000,144.768997,117.921013,0
2008-06-01,145.440002,0.000000,0.000000,142.804993,116.321220,0
2008-07-01,142.533005,0.000000,0.000000,147.259003,119.949219,0
2008-08-01,146.977997,0.000000,0.000000,149.811996,122.028755,0
2008-09-01,150.248001,0.000000,0.000000,148.653000,121.084717,0
2008-10-01,150.371002,0.000000,0.000000,144.714996,117.877007,0
2008-11-01,146.494995,0.000000,0.000000,156.184006,127.219040,0
2008-12-01,157.731003,0.000000,0.000000,158.973999,129.491638,0
2009-01-01,159.429993,159.429993,148.750000,153.210007,124.796577,3239
2009-02-01,153.210007,155.300003,152.080002,153.100006,124.707008,1222
2009-03-01,154.029999,155.309998,149.729996,155.309998,126.507118,28405
2009-04-01,155.449997,156.820007,152.860001,154.059998,125.488945,5557
2009-05-01,153.550003,153.839996,146.699997,148.250000,120.756432,70005
2009-06-01,147.190002,150.679993,146.039993,150.679993,122.735748,34664
2009-07-01,150.860001,156.339996,150.410004,156.059998,127.118042,13411
2009-08-01,156.259995,158.710007,154.330002,157.970001,128.673813,12682
2009-09-01,158.850006,160.229996,154.229996,159.639999,130.034134,62106
2009-10-01,159.279999,160.899994,154.139999,155.679993,126.808510,12000
2009-11-01,155.669998,157.979996,153.070007,157.979996,128.681976,17817
2009-12-01,158.059998,159.600006,155.899994,156.179993,127.215782,22044
2010-01-01,156.179993,157.970001,155.199997,157.970001,128.673813,11520
2010-02-01,158.179993,160.259995,157.259995,160.160004,130.457672,42791
2010-03-01,159.850006,162.259995,159.130005,161.910004,131.883148,64719
2010-04-01,161.970001,163.899994,159.279999,159.509995,129.928223,22877
2010-05-01,159.000000,164.399994,158.160004,162.440002,132.314850,43609
2010-06-01,162.990005,162.990005,159.380005,161.210007,131.312988,21584
2010-07-01,161.149994,163.419998,161.000000,163.419998,133.113098,15042
2010-08-01,163.169998,176.229996,163.059998,175.720001,143.131989,27774
2010-09-01,175.580002,175.580002,167.240005,171.500000,139.694641,20640
2010-10-01,171.550003,173.399994,166.610001,167.429993,136.379395,15619
2010-11-01,167.229996,169.899994,158.279999,159.110001,129.602417,21719
2010-12-01,158.770004,159.679993,154.800003,156.300003,127.313492,21835
2011-01-01,156.589996,157.919998,152.960007,154.649994,125.969475,14060
2011-02-01,154.029999,155.500000,151.750000,153.929993,125.383095,13526
2011-03-01,153.809998,156.509995,151.539993,152.320007,124.071655,10174
2011-04-01,152.000000,153.750000,149.479996,151.539993,123.436302,3908
2011-05-01,151.350006,154.970001,150.350006,154.320007,125.700737,32765
2011-06-01,153.779999,155.470001,151.570007,151.820007,123.664383,37172
2011-07-01,151.929993,153.179993,150.630005,152.550003,124.259003,13355
2011-08-01,152.250000,162.000000,151.449997,156.770004,127.696365,7253
2011-09-01,156.570007,163.229996,156.479996,161.330002,131.410690,1090
2011-10-01,161.940002,162.990005,151.699997,152.809998,124.470757,18932
2011-11-01,154.350006,154.750000,145.639999,147.850006,120.430641,1671
2011-12-01,147.910004,158.059998,147.910004,158.059998,128.747162,6703
2012-01-01,158.080002,159.929993,154.229996,159.929993,130.270325,10004
2012-02-01,159.889999,165.130005,159.759995,165.130005,134.505951,7532
2012-03-01,165.190002,166.740005,162.779999,164.729996,134.180161,32316
2012-04-01,164.830002,165.029999,159.179993,161.080002,131.207047,17443
2012-05-01,161.080002,169.529999,160.649994,169.169998,137.796738,300137
2012-06-01,169.089996,171.559998,160.440002,161.830002,131.817947,11517
2012-07-01,162.149994,167.070007,161.979996,166.669998,135.760361,5412
2012-08-01,166.860001,169.740005,165.139999,167.960007,136.811142,7499
2012-09-01,168.000000,170.119995,166.669998,170.119995,138.570557,4187
2012-10-01,170.039993,172.529999,167.779999,169.119995,137.756012,7147
2012-11-01,169.309998,173.580002,167.899994,173.160004,141.046768,36262
2012-12-01,173.820007,177.389999,172.089996,176.699997,143.930267,18426
2013-01-01,176.699997,176.699997,173.460007,174.369995,142.032364,11137
2013-02-01,174.399994,174.470001,171.679993,173.389999,141.234116,26289
2013-03-01,173.559998,176.889999,173.179993,175.710007,143.123871,30673
2013-04-01,175.710007,183.229996,175.410004,181.910004,148.174072,35791
2013-05-01,181.910004,184.750000,176.100006,176.360001,146.000183,54512
2013-06-01,175.300003,176.440002,168.830002,172.009995,142.399017,17254
2013-07-01,172.190002,174.750000,170.449997,173.259995,143.433853,20971
2013-08-01,174.500000,174.979996,169.850006,170.949997,141.521484,18435
2013-09-01,170.350006,172.500000,168.039993,172.250000,142.597733,11548
2013-10-01,172.110001,173.940002,170.759995,173.110001,143.309677,25133
2013-11-01,173.110001,173.470001,170.500000,173.089996,145.696594,28300
2013-12-01,172.740005,173.240005,170.699997,171.759995,144.577042,11630
2014-01-01,171.759995,179.559998,171.220001,179.470001,151.066879,13633
2014-02-01,179.449997,182.800003,178.149994,181.960007,153.162811,17454
2014-03-01,182.910004,185.910004,182.100006,185.279999,155.957397,31021
2014-04-01,185.179993,188.250000,183.500000,186.460007,156.950638,32457
2014-05-01,186.460007,190.570007,185.500000,189.649994,162.033646,66840
2014-06-01,189.750000,193.520004,187.970001,193.110001,164.989792,44614
2014-07-01,192.899994,198.539993,191.059998,197.279999,168.552597,13580
2014-08-01,196.949997,207.919998,196.130005,206.690002,176.592331,64966
2014-09-01,207.000000,207.279999,200.779999,205.610001,175.669586,58936
2014-10-01,206.899994,209.539993,202.559998,204.610001,174.815186,84258
2014-11-01,205.000000,211.669998,203.169998,211.550003,183.369797,120473
2014-12-01,212.259995,218.669998,210.380005,218.490005,189.385330,59246
2015-01-01,218.490005,235.910004,218.490005,235.429993,204.068771,108557
2015-02-01,235.860001,239.279999,232.550003,238.410004,206.651840,36099
2015-03-01,239.050003,254.259995,234.899994,249.490005,216.255875,185686
2015-04-01,249.350006,250.880005,233.779999,236.389999,204.900909,190434
2015-05-01,236.389999,236.389999,216.779999,225.929993,197.600616,374897
2015-06-01,225.860001,226.289993,205.759995,209.410004,183.152084,121422
2015-07-01,209.000000,222.119995,205.740005,222.119995,194.268341,87801
2015-08-01,222.279999,224.589996,215.949997,215.949997,188.871994,130841
2015-09-01,214.839996,223.580002,214.770004,222.399994,194.513260,32330
2015-10-01,222.399994,231.229996,221.259995,227.949997,199.367325,53329
2015-11-01,226.000000,227.570007,217.600006,225.940002,197.609375,51412
2015-12-01,224.869995,226.339996,219.279999,221.250000,195.169739,62740
2016-01-01,221.250000,231.550003,220.600006,231.350006,204.079208,51714
2016-02-01,231.750000,237.220001,229.509995,237.220001,209.257233,19377
2016-03-01,236.130005,241.080002,230.949997,240.589996,212.229996,63974
2016-04-01,240.330002,242.960007,232.029999,233.100006,205.622925,56829
